,MAIN,SQO,SQC,END,SEMICOLON,ID,ASSIGNOP,SIZE,IF,OP,CL,ENDIF,ELSE,READ,PRINT,NUM,COMMA,PLUS,MINUS,MUL,DIV,NOT,AND,OR,LT,LE,EQ,GT,GE,NE,FUNCTION,FUNID,INT,REAL,STRING,MATRIX,RNUM,STR,,,,,,,
<rightHandSideOfId>,,<rightHandSideOfId> ==> <arithmeticExpression> ,,,,<rightHandSideOfId> ==> <arithmeticExpression> ,,<rightHandSideOfId> ==> <arithmeticExpression> ,,<rightHandSideOfId> ==> <arithmeticExpression> ,,,,,,<rightHandSideOfId> ==> <arithmeticExpression> ,,,,,,,,,,,,,,,,<rightHandSideOfId> ==> <arithmeticExpression> ,,,,,<rightHandSideOfId> ==> <arithmeticExpression> ,<rightHandSideOfId> ==> <arithmeticExpression> ,,,,,,,
<rightHandSideOfTuple>,,,,,,,,<rightHandSideOfTuple> ==> SIZE ID ,,,,,,,,,,,,,,,,,,,,,,,,<rightHandSideOfTuple> ==> <funCall> ,,,,,,,,,,,,,
<arithmeticExpression>,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,,,,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,,,,,,,,,,,,,,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,,,,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,<arithmeticExpression> ==> <term> <arithmeticExpressionOps> ,,,,,,,
<booleanExpression>,,,,,,<booleanExpression> ==> <constrainedVars> <relationalOp> <constrainedVars> ,,,,<booleanExpression> ==> OP <booleanExpression> CL <binaryLogicalOp> OP <booleanExpression> CL ,,,,,,<booleanExpression> ==> <constrainedVars> <relationalOp> <constrainedVars> ,,,,,,<booleanExpression> ==> NOT OP <booleanExpression> CL ,,,,,,,,,,,,,,,<booleanExpression> ==> <constrainedVars> <relationalOp> <constrainedVars> ,,,,,,,,
<elseStmt>,,,,,,,,,,,,<elseStmt> ==> _eps_ ,<elseStmt> ==> ELSE <stmt> <otherStmts> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<matrix>,,<matrix> ==> SQO <numberList> <moreMatrixNums> SQC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<numberList>,,,,,,,,,,,,,,,,<numberList> ==> NUM <moreNums> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<moreMatrixNums>,,,<moreMatrixNums> ==> _eps_ ,,<moreMatrixNums> ==> SEMICOLON <numberList> <moreMatrixNums> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<moreNums>,,,<moreNums> ==> _eps_ ,,<moreNums> ==> _eps_ ,,,,,,,,,,,,<moreNums> ==> COMMA <numberList> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<term>,,<term> ==> <factor> <termOps> ,,,,<term> ==> <factor> <termOps> ,,<term> ==> <factor> <termOps> ,,<term> ==> <factor> <termOps> ,,,,,,<term> ==> <factor> <termOps> ,,,,,,,,,,,,,,,,<term> ==> <factor> <termOps> ,,,,,<term> ==> <factor> <termOps> ,<term> ==> <factor> <termOps> ,,,,,,,
<arithmeticExpressionOps>,,,,,<arithmeticExpressionOps> ==> _eps_ ,,,,,,<arithmeticExpressionOps> ==> _eps_ ,,,,,,,<arithmeticExpressionOps> ==> <plusOrMinus> <arithmeticExpression> ,<arithmeticExpressionOps> ==> <plusOrMinus> <arithmeticExpression> ,,,,,,,,,,,,,,,,,,,,,,,,,,
<plusOrMinus>,,,,,,,,,,,,,,,,,,<plusOrMinus> ==> PLUS ,<plusOrMinus> ==> MINUS ,,,,,,,,,,,,,,,,,,,,,,,,,,
<factor>,,<factor> ==> <var> ,,,,<factor> ==> <var> ,,<factor> ==> <var> ,,<factor> ==> OP <arithmeticExpression> CL ,,,,,,<factor> ==> <var> ,,,,,,,,,,,,,,,,<factor> ==> <var> ,,,,,<factor> ==> <var> ,<factor> ==> <var> ,,,,,,,
<termOps>,,,,,<termOps> ==> _eps_ ,,,,,,<termOps> ==> _eps_ ,,,,,,,<termOps> ==> _eps_ ,<termOps> ==> _eps_ ,<termOps> ==> <mulOrDiv> <term> ,<termOps> ==> <mulOrDiv> <term> ,,,,,,,,,,,,,,,,,,,,,,,,
<mulOrDiv>,,,,,,,,,,,,,,,,,,,,<mulOrDiv> ==> MUL ,<mulOrDiv> ==> DIV ,,,,,,,,,,,,,,,,,,,,,,,,
<var>,,<var> ==> <matrix> ,,,,<var> ==> ID <matrixRest> ,,<var> ==> SIZE ID ,,,,,,,,<var> ==> NUM ,,,,,,,,,,,,,,,,<var> ==> <funCall> ,,,,,<var> ==> RNUM ,<var> ==> STR ,,,,,,,
<binaryLogicalOp>,,,,,,,,,,,,,,,,,,,,,,,<binaryLogicalOp> ==> AND ,<binaryLogicalOp> ==> OR ,,,,,,,,,,,,,,,,,,,,,
<constrainedVars>,,,,,,<constrainedVars> ==> ID ,,,,,,,,,,<constrainedVars> ==> NUM ,,,,,,,,,,,,,,,,,,,,,<constrainedVars> ==> RNUM ,,,,,,,,
<relationalOp>,,,,,,,,,,,,,,,,,,,,,,,,,<relationalOp> ==> LT ,<relationalOp> ==> LE ,<relationalOp> ==> EQ ,<relationalOp> ==> GT ,<relationalOp> ==> GE ,<relationalOp> ==> NE ,,,,,,,,,,,,,,,
<parameterList>,,,<parameterList> ==> _eps_ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<parameterList> ==> <type> ID <remainingList> ,<parameterList> ==> <type> ID <remainingList> ,<parameterList> ==> <type> ID <remainingList> ,<parameterList> ==> <type> ID <remainingList> ,,,,,,,,,
<remainingList>,,,<remainingList> ==> _eps_ ,,,,,,,,,,,,,,<remainingList> ==> COMMA <type> ID <remainingList> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<funIdList>,,<funIdList> ==> <varList> ,,,,<funIdList> ==> <varList> ,,<funIdList> ==> <varList> ,,,<funIdList> ==> _eps_ ,,,,,<funIdList> ==> <varList> ,,,,,,,,,,,,,,,,<funIdList> ==> <varList> ,,,,,<funIdList> ==> <varList> ,<funIdList> ==> <varList> ,,,,,,,
<varList>,,<varList> ==> <var> <moreVars> ,,,,<varList> ==> <var> <moreVars> ,,<varList> ==> <var> <moreVars> ,,,,,,,,<varList> ==> <var> <moreVars> ,,,,,,,,,,,,,,,,<varList> ==> <var> <moreVars> ,,,,,<varList> ==> <var> <moreVars> ,<varList> ==> <var> <moreVars> ,,,,,,,
<matrixRest>,,<matrixRest> ==> SQO NUM COMMA NUM SQC ,,,<matrixRest> ==> _eps_ ,,,,,,<matrixRest> ==> _eps_ ,,,,,,<matrixRest> ==> _eps_ ,<matrixRest> ==> _eps_ ,<matrixRest> ==> _eps_ ,<matrixRest> ==> _eps_ ,<matrixRest> ==> _eps_ ,,,,,,,,,,,,,,,,,,,,,,,,
<moreVars>,,,,,,,,,,,<moreVars> ==> _eps_ ,,,,,,<moreVars> ==> COMMA <varList> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<moreIds>,,,<moreIds> ==> _eps_ ,,<moreIds> ==> _eps_ ,,,,,,,,,,,,<moreIds> ==> COMMA <idList> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
